id,name,volume,tets,small,regina_small,nonnormal_iso,LW_dim,LW_euler,LW_comps,LW_dim_comps,LW_euler_comps,LW_inhom_comp,LW_max_vert_face,LW_verts_comp,LW_num_max_faces,tri_used,ess_face_time,regina_small_time,gen_func_time,by_genus_time,vertex_surfaces,vertex_genera,max_faces,all_faces,LW_euler_bound,gen_func,by_genus,by_genus_naive
798,s783,5.33348956689812,6,-1,,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[4],3.0,gLLPQceeffefhuplalx,0.961613893508911,,0.0224521160125732,62.7361831665039,"{""N8"":[0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0],""N3"":[0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0],""N6"":[1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0],""N7"":[0,0,0,4,0,0,0,4,0,0,0,1,0,0,0,3,0,0]}","{""N8"":3,""N3"":2,""N6"":2,""N7"":3}","[{""dim"":1,""verts"":[""N6"",""N7""]},{""dim"":1,""verts"":[""N3"",""N8""]},{""dim"":1,""verts"":[""N7"",""N8""]}]","[{""dim"":0,""verts"":[""N7""]},{""dim"":0,""verts"":[""N3""]},{""dim"":0,""verts"":[""N6""]},{""dim"":0,""verts"":[""N8""]},{""dim"":1,""verts"":[""N6"",""N7""]},{""dim"":1,""verts"":[""N3"",""N8""]},{""dim"":1,""verts"":[""N7"",""N8""]}]",-6.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[3,2,4]"
3109,v2946,6.13813878908525,7,-1,-1.0,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[3],2.0,hvLAQkcdegffggorwtaxaj,0.19033408164978,141.665899991989,0.0155429840087891,48.5903031826019,"{""N2"":[0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0],""N3"":[0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0],""N5"":[0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0]}","{""N2"":2,""N3"":2,""N5"":2}","[{""dim"":1,""verts"":[""N2"",""N3""]},{""dim"":1,""verts"":[""N2"",""N5""]}]","[{""dim"":0,""verts"":[""N3""]},{""dim"":0,""verts"":[""N2""]},{""dim"":0,""verts"":[""N5""]},{""dim"":1,""verts"":[""N2"",""N3""]},{""dim"":1,""verts"":[""N2"",""N5""]}]",-2.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[3]
3110,v2947,6.13813878908524,7,-1,-1.0,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[2],1.0,hLLAPkccedgfgglnegbbbc,0.762871026992798,297.681143045425,0.0117340087890625,19.0755958557129,"{""N9"":[2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0],""N3"":[0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0]}","{""N9"":2,""N3"":2}","[{""dim"":1,""verts"":[""N3"",""N9""]}]","[{""dim"":0,""verts"":[""N9""]},{""dim"":0,""verts"":[""N3""]},{""dim"":1,""verts"":[""N3"",""N9""]}]",-4.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[3,0]"
3396,v3381,6.55174328788787,7,-1,-1.0,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[4],3.0,hLLLQkacfgegfgjkgocjrv,1.27201795578003,41.0107891559601,0.0247399806976318,116.272934913635,"{""N8"":[0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,4],""N1"":[0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,2],""N3"":[0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0],""N9"":[0,0,0,0,3,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,0]}","{""N8"":3,""N1"":2,""N3"":2,""N9"":3}","[{""dim"":1,""verts"":[""N1"",""N8""]},{""dim"":1,""verts"":[""N3"",""N9""]},{""dim"":1,""verts"":[""N8"",""N9""]}]","[{""dim"":0,""verts"":[""N3""]},{""dim"":0,""verts"":[""N9""]},{""dim"":0,""verts"":[""N1""]},{""dim"":0,""verts"":[""N8""]},{""dim"":1,""verts"":[""N1"",""N8""]},{""dim"":1,""verts"":[""N3"",""N9""]},{""dim"":1,""verts"":[""N8"",""N9""]}]",-6.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[3,2,4]"
3403,v3394,6.55933588268511,7,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,hLLLQkbcgfffggtsmxdgof,0.131223917007446,59.4502980709076,0.0161409378051758,41.6085829734802,"{""N2"":[0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1],""N11"":[2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1],""N6"":[0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0]}","{""N2"":2,""N11"":2,""N6"":2}","[{""dim"":0,""verts"":[""N6""]},{""dim"":1,""verts"":[""N2"",""N11""]}]","[{""dim"":0,""verts"":[""N6""]},{""dim"":0,""verts"":[""N11""]},{""dim"":0,""verts"":[""N2""]},{""dim"":1,""verts"":[""N2"",""N11""]}]",-2.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[4]
3404,v3395,6.55933588268511,7,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,hLLLQkbcgfgffgtsmxqgbf,0.124440908432007,33.48948097229,0.0215349197387695,21.9699130058289,"{""N2"":[0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1],""N11"":[2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1],""N10"":[1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0]}","{""N2"":2,""N11"":2,""N10"":2}","[{""dim"":0,""verts"":[""N10""]},{""dim"":1,""verts"":[""N2"",""N11""]}]","[{""dim"":0,""verts"":[""N11""]},{""dim"":0,""verts"":[""N10""]},{""dim"":0,""verts"":[""N2""]},{""dim"":1,""verts"":[""N2"",""N11""]}]",-2.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[4]
10802,t09753,6.75519481646288,8,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 5]",5.0,iLLzPQccdchfgghhhsnwgsvsv,4.96001386642456,234.106016159058,0.0585510730743408,124.949928045273,"{""N12"":[0,2,0,0,2,0,0,0,1,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0],""N13"":[0,2,0,2,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,4],""N10"":[0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1],""N1"":[0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0],""N4"":[0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0],""N6"":[0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,2]}","{""N12"":3,""N13"":3,""N10"":2,""N1"":2,""N4"":2,""N6"":2}","[{""dim"":0,""verts"":[""N1""]},{""dim"":1,""verts"":[""N10"",""N13""]},{""dim"":1,""verts"":[""N4"",""N12""]},{""dim"":1,""verts"":[""N10"",""N12""]},{""dim"":1,""verts"":[""N6"",""N13""]}]","[{""dim"":0,""verts"":[""N13""]},{""dim"":0,""verts"":[""N1""]},{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N6""]},{""dim"":0,""verts"":[""N10""]},{""dim"":0,""verts"":[""N4""]},{""dim"":1,""verts"":[""N10"",""N13""]},{""dim"":1,""verts"":[""N4"",""N12""]},{""dim"":1,""verts"":[""N10"",""N12""]},{""dim"":1,""verts"":[""N6"",""N13""]}]",-8.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[4,2,4,4]"
10803,t09755,6.75519481646288,8,-1,,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 4]",4.0,iLLzPQccdchfgghhhsnwfbvno,66.4369819164276,,0.0423641204833984,74.8566229343414,"{""N12"":[0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,4,0],""N13"":[0,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,4,0,0,0,0,0,0,0],""N2"":[0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0],""N4"":[0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1],""N10"":[0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0]}","{""N12"":3,""N13"":3,""N2"":2,""N4"":2,""N10"":2}","[{""dim"":0,""verts"":[""N10""]},{""dim"":1,""verts"":[""N4"",""N13""]},{""dim"":1,""verts"":[""N12"",""N13""]},{""dim"":1,""verts"":[""N2"",""N12""]}]","[{""dim"":0,""verts"":[""N13""]},{""dim"":0,""verts"":[""N10""]},{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N2""]},{""dim"":0,""verts"":[""N4""]},{""dim"":1,""verts"":[""N4"",""N13""]},{""dim"":1,""verts"":[""N12"",""N13""]},{""dim"":1,""verts"":[""N2"",""N12""]}]",-14.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[4,2,4,4,8,4,12]"
10928,t09933,6.78475578692587,8,-1,-1.0,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[2],1.0,iLLzMQcacefhghghnkxguhxqr,0.696536064147949,179.918184041977,0.0185589790344238,49.4473078250885,"{""N1"":[0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0],""N9"":[2,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0]}","{""N1"":2,""N9"":2}","[{""dim"":1,""verts"":[""N1"",""N9""]}]","[{""dim"":0,""verts"":[""N1""]},{""dim"":0,""verts"":[""N9""]},{""dim"":1,""verts"":[""N1"",""N9""]}]",-4.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[3,0]"
10929,t09934,6.78475578692587,8,-1,-1.0,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[2],1.0,iLLALQcacdehgghhnkmxeogvv,37.2569119930267,384.802565097809,0.0206019878387451,31.1058051586151,"{""N1"":[0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0],""N10"":[2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0]}","{""N1"":2,""N10"":2}","[{""dim"":1,""verts"":[""N1"",""N10""]}]","[{""dim"":0,""verts"":[""N1""]},{""dim"":0,""verts"":[""N10""]},{""dim"":1,""verts"":[""N1"",""N10""]}]",-10.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[3,0,0,0,0]"
11187,t10293,6.85477009013402,8,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLLQMcceegefghhlquxlqchr,0.161793947219849,241.501475811005,0.0243430137634277,22.085911989212,"{""N8"":[0,1,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0],""N9"":[1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0],""N6"":[0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,4,0,0]}","{""N8"":2,""N9"":2,""N6"":2}","[{""dim"":0,""verts"":[""N9""]},{""dim"":1,""verts"":[""N6"",""N8""]}]","[{""dim"":0,""verts"":[""N9""]},{""dim"":0,""verts"":[""N6""]},{""dim"":0,""verts"":[""N8""]},{""dim"":1,""verts"":[""N6"",""N8""]}]",-2.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[4]
11188,t10294,6.85477009013402,8,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLLQMcceegefghhlqumlmsaw,0.182312965393066,229.200074911118,0.0544009208679199,27.7277979850769,"{""N8"":[0,1,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0],""N12"":[2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0],""N6"":[0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,4,0,0]}","{""N8"":2,""N12"":2,""N6"":2}","[{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N6"",""N8""]}]","[{""dim"":0,""verts"":[""N6""]},{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N8""]},{""dim"":1,""verts"":[""N6"",""N8""]}]",-2.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[4]
11255,t10385,6.87780276790695,8,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLAPMcbddefgghhdwjdgwjaj,0.886168956756592,7687.25191402435,0.199877977371216,33.681272983551,"{""N12"":[2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0],""N2"":[0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,3,0,0],""N4"":[0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,1,0,0]}","{""N12"":2,""N2"":2,""N4"":2}","[{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N2"",""N4""]}]","[{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N4""]},{""dim"":0,""verts"":[""N2""]},{""dim"":1,""verts"":[""N2"",""N4""]}]",-4.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[4,0]"
11256,t10386,6.87780276790695,8,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLMLQcccdffgghhlnkhncvhn,0.882138967514038,2135.51050901413,0.315622091293335,52.4473021030426,"{""N12"":[2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0],""N3"":[0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0],""N5"":[0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,3,0,0]}","{""N12"":2,""N3"":2,""N5"":2}","[{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N3"",""N5""]}]","[{""dim"":0,""verts"":[""N3""]},{""dim"":0,""verts"":[""N5""]},{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N3"",""N5""]}]",-4.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[4,2]"
11257,t10387,6.87837580716136,8,-1,,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[4],3.0,iLLLAQccdefghghhtrualhkda,2.1430139541626,,0.310981035232544,162.913470029831,"{""N8"":[0,2,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1],""N10"":[0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2,0,0,1],""N6"":[0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1],""N7"":[0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0]}","{""N8"":2,""N10"":3,""N6"":2,""N7"":2}","[{""dim"":1,""verts"":[""N7"",""N8""]},{""dim"":1,""verts"":[""N7"",""N10""]},{""dim"":1,""verts"":[""N6"",""N10""]}]","[{""dim"":0,""verts"":[""N7""]},{""dim"":0,""verts"":[""N6""]},{""dim"":0,""verts"":[""N10""]},{""dim"":0,""verts"":[""N8""]},{""dim"":1,""verts"":[""N7"",""N8""]},{""dim"":1,""verts"":[""N7"",""N10""]},{""dim"":1,""verts"":[""N6"",""N10""]}]",-6.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[3,2,4]"
11287,t10422,6.88547896628436,8,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLPLQcaceefghghnkxvvhhjk,0.771121978759766,44.3854060173035,0.0531558990478516,21.8054540157318,"{""N10"":[3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2],""N5"":[1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2],""N7"":[1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0]}","{""N10"":2,""N5"":2,""N7"":2}","[{""dim"":0,""verts"":[""N7""]},{""dim"":1,""verts"":[""N5"",""N10""]}]","[{""dim"":0,""verts"":[""N10""]},{""dim"":0,""verts"":[""N5""]},{""dim"":0,""verts"":[""N7""]},{""dim"":1,""verts"":[""N5"",""N10""]}]",-4.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[4,0]"
11320,t10465,6.89540007013155,8,-1,-1.0,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[3],2.0,iLLAwQcccedfhghhpwxgxiijg,1.40064096450806,214.94847202301,0.0615601539611816,106.884600877762,"{""N8"":[0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0],""N4"":[0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1],""N6"":[0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0]}","{""N8"":2,""N4"":2,""N6"":2}","[{""dim"":1,""verts"":[""N6"",""N8""]},{""dim"":1,""verts"":[""N4"",""N6""]}]","[{""dim"":0,""verts"":[""N6""]},{""dim"":0,""verts"":[""N4""]},{""dim"":0,""verts"":[""N8""]},{""dim"":1,""verts"":[""N6"",""N8""]},{""dim"":1,""verts"":[""N4"",""N6""]}]",-6.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[3,2,4]"
11375,t10541,6.91277785228007,8,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLPLQcaceefghghjkxvvhhjk,0.34580397605896,29.8947188854218,0.0290360450744629,52.5441079139709,"{""N12"":[3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2],""N9"":[1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0],""N7"":[1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2]}","{""N12"":2,""N9"":2,""N7"":2}","[{""dim"":0,""verts"":[""N9""]},{""dim"":1,""verts"":[""N7"",""N12""]}]","[{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N7""]},{""dim"":0,""verts"":[""N9""]},{""dim"":1,""verts"":[""N7"",""N12""]}]",-2.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[4]
11419,t10608,6.92737711230554,8,-1,-1.0,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[4],3.0,iLLzPQccdchfgghhqsnwfbvno,30.462996006012,266.290787935257,0.0667381286621094,84.2682058811188,"{""N9"":[0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,4,0],""N2"":[0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0],""N4"":[0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1],""N10"":[0,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,4,0,0,0,0,0,0,0]}","{""N9"":3,""N2"":2,""N4"":2,""N10"":3}","[{""dim"":1,""verts"":[""N4"",""N10""]},{""dim"":1,""verts"":[""N9"",""N10""]},{""dim"":1,""verts"":[""N2"",""N9""]}]","[{""dim"":0,""verts"":[""N10""]},{""dim"":0,""verts"":[""N9""]},{""dim"":0,""verts"":[""N2""]},{""dim"":0,""verts"":[""N4""]},{""dim"":1,""verts"":[""N4"",""N10""]},{""dim"":1,""verts"":[""N9"",""N10""]},{""dim"":1,""verts"":[""N2"",""N9""]}]",-14.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[3,2,4,4,8,4,12]"
11431,t10628,6.93044427938416,8,-1,,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLAPMcbddegfghhdwjdjonak,0.988661050796509,,0.0700271129608154,51.6543850898743,"{""N12"":[2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0],""N2"":[0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,3,0,0],""N4"":[0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,1,0,0]}","{""N12"":2,""N2"":2,""N4"":2}","[{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N2"",""N4""]}]","[{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N4""]},{""dim"":0,""verts"":[""N2""]},{""dim"":1,""verts"":[""N2"",""N4""]}]",-4.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[4,0]"
11432,t10629,6.93044427938416,8,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLMLQcccdfgfghhlnkhfsohj,0.891340970993042,420.389691114426,0.0708580017089844,32.8181910514832,"{""N12"":[2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0],""N3"":[0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0],""N5"":[0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,3,0,0]}","{""N12"":2,""N3"":2,""N5"":2}","[{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N3"",""N5""]}]","[{""dim"":0,""verts"":[""N3""]},{""dim"":0,""verts"":[""N5""]},{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N3"",""N5""]}]",-4.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[4,2]"
11546,t10801,6.96942455843935,8,-1,,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLAPMcbddegfghhdwjdjonaj,0.258455038070679,,0.0608470439910889,30.3784499168396,"{""N12"":[2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0],""N2"":[0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,3,0,0],""N4"":[0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,1,0,0]}","{""N12"":2,""N2"":2,""N4"":2}","[{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N2"",""N4""]}]","[{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N4""]},{""dim"":0,""verts"":[""N2""]},{""dim"":1,""verts"":[""N2"",""N4""]}]",-2.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[4]
11547,t10802,6.96942455843935,8,-1,-1.0,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,iLLMLQcccdfgfghhlnkhfsohn,0.26482105255127,643.338680028915,0.0499470233917236,29.0825471878052,"{""N12"":[2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0],""N3"":[0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0],""N5"":[0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,3,0,0]}","{""N12"":2,""N3"":2,""N5"":2}","[{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N3"",""N5""]}]","[{""dim"":0,""verts"":[""N3""]},{""dim"":0,""verts"":[""N5""]},{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N3"",""N5""]}]",-2.0,(-2*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]",[4]
